category,datetime,headline,id,image,related,source,summary,url
company,1623070500,Apple to add on device speech recognition to Siri,68016029,,AAPL,Thefly.com,Apple to add on device speech recognition to Siri AAPL,https://finnhub.io/api/news?id=fdee331c9f7bc65e9e70ecc2eca3528eb64c84a40f30f1d3285a04c870d74929
company,1623070140,"Apple says users can build apps for iPhone, iPad on iPad",68016032,,AAPL,Thefly.com,"Apple says users can build apps for iPhone, iPad on iPad AAPL",https://finnhub.io/api/news?id=b9f8a6ce0b8c7c91a3f77847bf9add74d0036f00096d8a615182f58c88dc6e3f
company,1623069780,Apple introduces iPadOS 15,68016035,,AAPL,Thefly.com,Apple introduces iPadOS 15 AAPL,https://finnhub.io/api/news?id=2f8c505c4b659c3ce3e96269b902a9573e143069ae467ede4eb4aabebdade38c
company,1623069720,Apple introduces Conversation Boost to AirPods,68016038,,AAPL,Thefly.com,Apple introduces Conversation Boost to AirPods AAPL,https://finnhub.io/api/news?id=9f70431806b9eb4951a3f37661346418549133c06a997c4d05f94be82e73153b
company,1623069180,Apple says Maps to include more topographical details,68016040,,AAPL,Thefly.com,Apple says Maps to include more topographical details AAPL,https://finnhub.io/api/news?id=a3e4eec7d1bebcf1abc582032ce11ec7de368466075e80a72a14e4debe6bfaa9
company,1623069000,"Apple says Wallet support for home keys, work entry, hotels on the way",68016043,,AAPL,Thefly.com,"Apple says Wallet support for home keys, work entry, hotels on the way AAPL",https://finnhub.io/api/news?id=6401e0bf3f317c8fc00234e0b55e93302ff0e9f99298839d7102f1ac3296cd07
company,1623068880,Apple says Live Text feature to let users read text from photos,68016046,,AAPL,Thefly.com,Apple says Live Text feature to let users read text from photos AAPL,https://finnhub.io/api/news?id=1092e8280e80db987c4877217cf510e7e8cd9fc02e0b2244b435e44bf9214599
company,1623068853,US STOCKS-Wall St dips as investors weigh G7 tax deal risk,67990882,https://www.nasdaq.com/sites/acquia.prod/files/2021-06-07T120046Z_1_TW6_RTRLXPP_2_LYNXPACKAGER.JPG?1121828166,AAPL,Nasdaq,"The S&P 500 eased on Monday, although it remained 0.5% away from its all-time high, as a deal by the world's richest nations on a global minimum corporate tax overshadowed bets on a full economic reopening.",https://finnhub.io/api/news?id=9fd1d731ff8ab271da877181c0dba303f7607d8ebd07e6c66f3fb90c74f03752
company,1623068460,"Apple`s FaceTime coming to Android, Windows through the web",67993584,,AAPL,Thefly.com,"Apple's FaceTime coming to Android, Windows through the web AAPL GOOG GOOGL MSFT",https://finnhub.io/api/news?id=e2a6e860911853e17326a8b7999a19084280622d891253e2a1e616c24a7e49dc
company,1623068220,"Apple introduces Shared With You feature for Safari, iMessage, Photos, Music",68016051,,AAPL,Thefly.com,"Apple introduces Shared With You feature for Safari, iMessage, Photos, Music AAPL",https://finnhub.io/api/news?id=75c7530a81fcee310d4e14f8b86121e3eef57b17c5c149eadf203e9cd83b20cc
company,1623068220,"IPO Preview: Marqeta, TaskUs, Monday.com Lead Busy Week With 8 Planned Public Listings",67992538,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/dylan-gillis-kdeqa3atnby-unsplash_0.jpg,AAPL,Benzinga,"After a shortened holiday week that saw only one large public listing, the week of June 7 heats up with numerous listings across several different sectors. These include...",https://finnhub.io/api/news?id=c5b30e2c6f9e1bf40f7e593f08938e4e1312da6283763cfa92b3cd1d4640573c
company,1623068040,Apple unveils iOS 15 with improved FaceTime,67999050,,AAPL,Thefly.com,Apple unveils iOS 15 with improved FaceTime AAPL DIS T Z ZG,https://finnhub.io/api/news?id=53e6c1875bfd65379ae360078c981d9e8a428deb7a8fb833c9b7f287984f23c4
company,1623067659,Monday's ETF with Unusual Volume: DJD,67993001,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?670263659,AAPL,Nasdaq,"The Invesco Dow Jones Industrial Average Dividend ETF is seeing unusually high volume in afternoon trading Monday, with over 261,000 shares traded versus three month average volume of about 51,000.  Shares of DJD were down about 0.7% on the day.",https://finnhub.io/api/news?id=281f5595a061fb9f603bb2a339f776464d246ad3b7aa6d0d4ee510bab30a41b9
company,1623066780,How Investors Can Use Boredom Arbitrage to Profit,67993585,,AAPL,GuruFocus,"GuruFocus Article or News written by Rupert Hargreaves and the topic is about: Many investors need to trade, patient investors can take advantages of this",https://finnhub.io/api/news?id=c5e2d89fc6791b60d2a871a05ad8365ff777e93b436fd3b022405eccde8d8791
company,1623065700,Wall Street in Fives - Must Read Lists at Midday AAPL;BX;QTS;VMC;MRNA;BIIB;V;CHRW;ETSY;WERN;ARCB;AMZN;GME;AMC;BB;PSTH;SSNLF;GOOG;GOOGL;MGNI;CDXC;WMT;MIC;KKR;RIG;SMBMF;MGI;GIII;BBCP;TYL;HURC;HYW,67992029,https://image.thefly.com/catalog/201810/img_66.png,AAPL,Thefly.com,<p>Get caught up quickly on the top news and ...,https://finnhub.io/api/news?id=b005d648459ae4af201c5cbaad153848292630229b92b569bfc0bd2813ebc12c
company,1623065280,Here's Why Digital Turbine Stock Dropped 12% in May,68004809,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?497347555,AAPL,Nasdaq,"What happened 
Shares of mobile-advertising technology company Digital Turbine (NASDAQ: APPS) were down 12.3% in May, according to data provided by S&P Global Market Intelligence. Early in the month, the stock was actually down closer to 25% without any company-specific news.",https://finnhub.io/api/news?id=d37ec8f97cc65789a65a9b250a2c35b686c2460b2c0cdaee163726117466ee4b
company,1623064627,Answering Your Money Questions,67990218,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1980377087,AAPL,Nasdaq,"We just can't get enough of Motley Fool contributor Dan Caplinger. In this episode of Motley Fool Answers, he helps us answer your questions about SPACs, variable universal life insurance, maximizing accounts, hopes for Gen X, and more.",https://finnhub.io/api/news?id=a7eac4134cfed6604b054d6edae2ebbcd590d999594f8b39336f4eb8b2a9861a
company,1623063960,Apple Developers Seek App Store Modifications at Annual Conference: WSJ,67994925,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/tim_cook_2017_1.jpg,AAPL,Benzinga,Apple Inc’s (NASDAQ: AAPL) weeklong annual conference for software developers from June 7 arrives on the heels of Apple’s legal tussle with “Fortnite...,https://finnhub.io/api/news?id=54a26b8b7e6c532edb14acc90850bfe9f62d3449f8ce079008b25c82b0a3c04e
company,1623062616,S&P 500 And Sectors: Core Earnings Vs. GAAP Net Income Through Q1'21,67989756,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1250581414/medium_image_1250581414.jpg,AAPL,SeekingAlpha,This report focuses on the Core Earnings of each S&P 500 sector and highlights which sectors are seeing the biggest rebound from the COVID-19-induced downturn in 2020.,https://finnhub.io/api/news?id=221d828c09b04ce11817ec15faafd6ea789abc2ee766db866b37464db2691806
company,1623062065,"Dow Movers: DOW, V",67991411,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1828416972,AAPL,Nasdaq,"In early trading on Monday, shares of Visa topped the list of the day's best performing Dow Jones Industrial Average components, trading up 1.3%.  Year to date, Visa registers a 6.6% gain.",https://finnhub.io/api/news?id=58b397b1f3bcd85bc35edc09edd8fba1693ac3705c4108b7169e9ed4fea581ce
