date,close,high,low,open,status,volume
2021-05-13 15:10:00,125.38,125.65,125.275,125.64,ok,896414
2021-05-13 15:15:00,125.36,125.55,125.32,125.39,ok,691145
2021-05-13 15:20:00,125.32,125.4,125.181,125.36,ok,769973
2021-05-13 15:25:00,125.47,125.525,125.33,125.33,ok,853709
2021-05-13 15:30:00,125.67,125.79,125.46,125.46,ok,1184688
2021-05-13 15:35:00,125.7,125.73,125.57,125.67,ok,917416
2021-05-13 15:40:00,125.695,125.75,125.55,125.7,ok,987371
2021-05-13 15:45:00,125.585,125.74,125.55,125.69,ok,1049207
2021-05-13 15:50:00,125.24,125.6,125.2,125.58,ok,1834520
2021-05-13 15:55:00,124.94,125.25,124.9,125.25,ok,2629752
2021-05-13 16:00:00,124.52,125.25,124.52,124.97,ok,8109461
2021-05-13 16:05:00,124.65,124.79,124.5,124.54,ok,86621
2021-05-13 16:10:00,124.75,124.97,124.64,124.7,ok,22376
2021-05-13 16:15:00,124.75,124.87,124.75,124.81,ok,6040
2021-05-13 16:20:00,124.71,124.75,124.71,124.75,ok,598567
2021-05-13 16:25:00,124.69,124.71,124.69,124.71,ok,10640
2021-05-13 16:30:00,124.76,124.87,124.68,124.68,ok,14535
2021-05-13 16:35:00,124.8,124.8,124.77,124.78,ok,5444
2021-05-13 16:40:00,124.8,124.8,124.75,124.75,ok,4577
2021-05-13 16:45:00,124.8,124.85,124.8,124.85,ok,3625
2021-05-13 16:50:00,124.8,124.82,124.8,124.82,ok,2283
2021-05-13 17:00:00,124.83,124.83,124.78,124.8,ok,2666
2021-05-13 17:10:00,124.83,124.84,124.83,124.84,ok,38388
2021-05-13 17:30:00,124.78,124.78,124.75,124.75,ok,2486
2021-05-13 17:40:00,124.75,124.75,124.71,124.75,ok,1629
2021-05-13 17:45:00,124.79,124.84,124.79,124.83,ok,2776
2021-05-13 18:05:00,124.9,124.95,124.87,124.87,ok,4728
2021-05-13 18:10:00,124.9,124.97,124.9,124.97,ok,7596
2021-05-13 18:20:00,124.86,124.92,124.86,124.92,ok,3285
2021-05-13 18:25:00,124.77,124.82,124.76,124.8,ok,5539
2021-05-13 18:30:00,124.84,124.84,124.76,124.78,ok,4810
2021-05-13 18:50:00,124.83,124.83,124.81,124.82,ok,684
2021-05-13 18:55:00,124.79,124.83,124.79,124.83,ok,1149
2021-05-13 19:20:00,124.95,124.95,124.82,124.82,ok,5938
2021-05-13 19:25:00,124.85,124.97,124.85,124.97,ok,12868
2021-05-13 19:30:00,124.97,125.0,124.93,124.93,ok,5640
2021-05-13 19:40:00,124.95,125.0,124.8,124.88,ok,5805
2021-05-13 19:45:00,125.0,125.0,124.94,124.94,ok,8369
2021-05-13 19:50:00,125.0,125.0,124.97,124.97,ok,5888
2021-05-13 19:55:00,125.11,125.11,125.0,125.0,ok,13927
2021-05-14 04:00:00,126.0,126.07,125.82,126.0,ok,4470
2021-05-14 04:10:00,125.97,126.06,125.97,126.06,ok,4767
2021-05-14 04:15:00,126.08,126.08,125.97,125.97,ok,1744
2021-05-14 04:20:00,126.0,126.06,126.0,126.06,ok,2194
2021-05-14 04:45:00,126.17,126.18,126.17,126.17,ok,894
2021-05-14 04:55:00,126.3,126.3,126.29,126.29,ok,901
2021-05-14 05:10:00,126.5,126.5,126.38,126.38,ok,5761
2021-05-14 05:15:00,126.64,126.64,126.5,126.5,ok,3100
2021-05-14 05:30:00,126.67,126.67,126.62,126.63,ok,2484
2021-05-14 05:35:00,126.63,126.67,126.6,126.67,ok,1021
2021-05-14 05:45:00,126.58,126.58,126.58,126.58,ok,507
2021-05-14 06:10:00,126.38,126.43,126.38,126.43,ok,378
2021-05-14 06:20:00,126.55,126.55,126.39,126.39,ok,2564
2021-05-14 06:30:00,126.4,126.55,126.4,126.55,ok,6424
2021-05-14 06:40:00,126.41,126.41,126.41,126.41,ok,436
2021-05-14 07:00:00,126.49,126.5,126.3,126.48,ok,51483
2021-05-14 07:05:00,126.55,126.6,126.4,126.48,ok,20961
2021-05-14 07:10:00,126.38,126.55,126.38,126.55,ok,5942
2021-05-14 07:15:00,126.38,126.44,126.33,126.39,ok,32091
2021-05-14 07:20:00,126.31,126.43,126.31,126.39,ok,11038
2021-05-14 07:25:00,126.53,126.53,126.32,126.32,ok,18364
2021-05-14 07:30:00,126.49,126.62,126.479,126.55,ok,32320
2021-05-14 07:35:00,126.38,126.54,126.35,126.49,ok,22488
2021-05-14 07:40:00,126.46,126.52,126.37,126.37,ok,19940
2021-05-14 07:45:00,126.39,126.53,126.39,126.47,ok,16351
2021-05-14 07:50:00,126.4,126.44,126.35,126.4,ok,12464
2021-05-14 07:55:00,126.47,126.48,126.37,126.4,ok,16164
2021-05-14 08:00:00,126.56,126.6,126.47,126.47,ok,149366
2021-05-14 08:05:00,126.49,126.55,126.45,126.54,ok,25089
2021-05-14 08:10:00,126.45,126.53,126.44,126.5,ok,14422
2021-05-14 08:15:00,126.5,126.51,126.44,126.45,ok,21008
2021-05-14 08:20:00,126.54,126.6,126.5,126.5,ok,17263
2021-05-14 08:25:00,126.6,126.62,126.53,126.55,ok,16005
2021-05-14 08:30:00,126.29,126.6,126.27,126.6,ok,82681
2021-05-14 08:35:00,126.21,126.32,126.1,126.31,ok,118390
2021-05-14 08:40:00,126.3,126.4,126.16,126.2,ok,57907
2021-05-14 08:45:00,126.38,126.42,126.27,126.27,ok,63798
2021-05-14 08:50:00,126.501,126.55,126.31,126.38,ok,43612
2021-05-14 08:55:00,126.51,126.6,126.47,126.501,ok,36324
2021-05-14 09:00:00,126.53,126.55,126.43,126.5,ok,39243
2021-05-14 09:05:00,126.68,126.68,126.46,126.52,ok,39420
2021-05-14 09:10:00,126.6,126.7,126.55,126.69,ok,49955
2021-05-14 09:15:00,126.5,126.69,126.5,126.63,ok,65960
2021-05-14 09:20:00,126.56,126.62,126.48,126.48,ok,60642
2021-05-14 09:25:00,126.27,126.6,126.27,126.56,ok,37826
2021-05-14 09:30:00,126.95,126.95,126.24,126.27,ok,3711767
2021-05-14 09:35:00,126.725,127.15,126.7,126.94,ok,2913640
2021-05-14 09:40:00,126.46,126.86,126.12,126.75,ok,2196390
2021-05-14 09:45:00,126.065,126.615,126.04,126.46,ok,1405954
2021-05-14 09:50:00,126.115,126.31,125.98,126.07,ok,1579384
2021-05-14 09:55:00,126.39,126.44,126.04,126.11,ok,1335997
2021-05-14 10:00:00,126.15,126.45,126.12,126.38,ok,1181631
2021-05-14 10:05:00,125.98,126.17,125.85,126.15,ok,1538610
2021-05-14 10:10:00,126.61,126.685,125.97,125.98,ok,1751404
2021-05-14 10:15:00,126.685,126.77,126.48,126.62,ok,1291613
2021-05-14 10:20:00,126.44,126.78,126.4,126.69,ok,1133772
2021-05-14 10:25:00,126.38,126.65,126.38,126.45,ok,1141610
2021-05-14 10:30:00,126.61,126.63,126.385,126.39,ok,867225
2021-05-14 10:35:00,126.54,126.64,126.45,126.62,ok,784069
2021-05-14 10:40:00,126.3,126.6,126.21,126.56,ok,1099566
2021-05-14 10:45:00,126.59,126.6,126.32,126.32,ok,1212296
2021-05-14 10:50:00,126.565,126.67,126.515,126.6,ok,794423
2021-05-14 10:55:00,126.755,126.76,126.5,126.57,ok,890882
2021-05-14 11:00:00,126.63,126.79,126.57,126.755,ok,744865
2021-05-14 11:05:00,126.55,126.67,126.54,126.63,ok,617766
2021-05-14 11:10:00,126.65,126.7,126.54,126.54,ok,674715
